stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,region_score,heuristic_score,saliency_component_count,largest_component_fraction,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,region_norm,heuristic_norm,maxstack_score
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,3,9338_ronda_12_maxstack_dragon_all_techniques_003,ronda_12_maxstack_dragon_all_techniques,"compact fantasy quilled hamster creature, pointed orange snout and dark eye, turquoise oval belly, painted rainbow scale spines, vertical storybook painting",,openai/clip-vit-large-patch14,0.8797582983970642,0.5964891910552979,0.014384499751031399,0.11993539824018344,0.6020335439043798,0.8480812355324074,0.04622525170804685,0.9537747482919532,0.9793580810538953,0.911329334102546,0.9009185416809093,0.6306429791766365,10.0,0.2702503681885125,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9999521317818106,0.8728329904088,0.9096902545554283,0.7805380206152853,0.9213920968192759,0.9723536093695957,0.8587004119426246,0.9094698772104852,True,0,0.9394698772104852,0.9755730431726007,0.33713203583209433,0.8629583998558581
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,305,9338_ronda_12_maxstack_dragon_all_techniques_305,ronda_12_maxstack_dragon_all_techniques,"orange teal dragon hamster, pointed orange snout and dark eye, blue green chest oval, rainbow back quills, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.7792012095451355,0.5482599139213562,0.012224603444337845,0.11056492863624452,0.6785011777307005,0.891153406213831,0.07361728304610134,0.9263827169538986,0.9961442205811166,0.9244818278463118,0.8931681016404784,0.6252176711483348,10.0,0.34994621728218,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6592055531980514,1.0,1.0,0.9704667726431392,1.0,0.6831499840892999,1.0,0.9003712864719614,True,0,0.9303712864719614,0.9358938288622137,0.32332629646592065,0.8518157592291582
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,1,9338_ronda_12_maxstack_dragon_all_techniques_001,ronda_12_maxstack_dragon_all_techniques,"colorful dragon hamster with orange face and teal belly, rainbow quills behind the back, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8266381621360779,0.560587465763092,0.015431376174092293,0.12422309034190179,0.680198047527741,0.8541101526331017,0.04850341835661372,0.9514965816433862,0.989212960204528,0.9152159643009866,0.8854987069631832,0.6198490948742282,9.0,0.2633587786259542,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8199498575365076,0.9674957205155623,0.8683667778656246,0.9746814232970049,0.9323950373314052,0.948300845789302,0.9416551831740608,0.9181739701779995,True,0,0.9481739701779995,0.8966295350358183,0.3096649219557362,0.8495556391591962
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,69,9338_ronda_12_maxstack_dragon_all_techniques_069,ronda_12_maxstack_dragon_all_techniques,"dragon hamster, tiny clawed paws, painted rainbow spines, orange face and teal oval belly, storybook painting",,openai/clip-vit-large-patch14,0.8527684211730957,0.583431601524353,0.015213043428957462,0.12334116680556197,0.6077127585110675,0.8688524034288195,0.05235022346478832,0.9476497765352117,0.9926688981662691,0.9211947829635467,0.8884304737730119,0.6219013316411083,9.0,0.4158136251323685,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9084945485774555,0.9072621735066124,0.8768664895593636,0.7946439382273885,0.9593000529106533,0.9076864799067218,0.9707460059659231,0.9041377828228108,True,0,0.9341377828228108,0.9116390316512909,0.31488723297907806,0.8469674299648282
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,92,9338_ronda_12_maxstack_dragon_all_techniques_092,ronda_12_maxstack_dragon_all_techniques,"dragon hamster, orange face, teal oval belly, rainbow back quills, small paws near belly, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8287920355796814,0.5835156440734863,0.01504077110439539,0.12264082152527922,0.6057804530697405,0.8564520941840278,0.050423425157075076,0.9495765748429249,0.989367769915119,0.9156287975608601,0.8958762226097687,0.627113355826838,10.0,0.2141057934508816,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8272484479689636,0.9070405769933156,0.8836162050655166,0.7898445173136797,0.9366691454568521,0.9280295150360831,0.9429583147427171,0.8849770828546306,True,0,0.9149770828546306,0.9497583464584235,0.32815023060115106,0.8436408029312769
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,100,9338_ronda_12_maxstack_dragon_all_techniques_100,ronda_12_maxstack_dragon_all_techniques,"dragon hamster, orange face, teal oval belly, painted rainbow scale spines, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8477097153663635,0.5898869633674622,0.013283594511449337,0.1152544771861351,0.6558877810347833,0.8487158881293403,0.052933473821113845,0.9470665261788862,0.9803839281901119,0.9094722194588356,0.8859561132236836,0.6201692792565785,7.0,0.2779401022644266,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8913526770755468,0.8902412038757073,0.9548035526829356,0.9143000783353051,0.9225503553677498,0.9015285533399174,0.867335618240188,0.9056569142272322,True,0,0.9356569142272322,0.8989712757553942,0.310479692676364,0.8411299549199611
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,88,9338_ronda_12_maxstack_dragon_all_techniques_088,ronda_12_maxstack_dragon_all_techniques,"dragon hamster, orange face, teal oval belly, rainbow back quills, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8171042799949646,0.5834732055664062,0.01413234043866396,0.11887952068655037,0.6353007556656614,0.8539598253038195,0.0548079985327377,0.9451920014672623,0.992431119592134,0.9135853458186874,0.8924684500702921,0.6247279150492044,10.0,0.231353591160221,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7876434556975601,0.9071524753744982,0.919866482334787,0.863166443872338,0.9321206857963261,0.8817374200870148,0.968744472824865,0.8851649076882664,True,0,0.9151649076882664,0.9323118871335889,0.3220800179095113,0.838788659902057
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,73,9338_ronda_12_maxstack_dragon_all_techniques_073,ronda_12_maxstack_dragon_all_techniques,"orange face and teal oval belly, painted rainbow spines, tiny clawed paws, dragon hamster, storybook painting",,openai/clip-vit-large-patch14,0.8607611060142517,0.5915513634681702,0.016363786533474922,0.12792101677783413,0.534392372345625,0.8537716335720487,0.0542665033850135,0.9457334966149865,0.9870975464031714,0.9126234682033014,0.8975019697717309,0.6282513788402116,12.0,0.42120141342756184,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9355784672192584,0.8858526499485456,0.8327272838789602,0.6125322558621167,0.9317772306791029,0.8874544973588986,0.9238484028707129,0.8714826168956245,True,0,0.9014826168956245,0.9580815345248412,0.3310461489588525,0.8369693550211287
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,244,9338_ronda_12_maxstack_dragon_all_techniques_244,ronda_12_maxstack_dragon_all_techniques,"compact fantasy quilled hamster creature, round vertical body, pointed orange snout and dark eye, turquoise belly, rainbow bristles behind the shoulders, small paws near belly, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8434833884239197,0.5522399544715881,0.01676146872341633,0.12946609101775,0.6282584629488227,0.8074736418547453,0.05201214480037574,0.9479878551996243,0.9642182675302922,0.8880025416605624,0.8865302571279821,0.6205711799895874,12.0,0.2645184135977337,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8770313948859373,0.9895057549085985,0.8178363267340683,0.8456749406023151,0.8472821148584048,0.9112558966531976,0.7312589945350375,0.8893168624227992,True,0,0.9193168624227992,0.9019106674421652,0.3115024063623061,0.8258491162984819
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,68,9338_ronda_12_maxstack_dragon_all_techniques_068,ronda_12_maxstack_dragon_all_techniques,"dragon hamster, tiny clawed paws, orange face and teal oval belly, painted rainbow spines, storybook painting",,openai/clip-vit-large-patch14,0.8407554626464844,0.5809880495071411,0.017076551914215088,0.1306772815535091,0.5514523577799934,0.8746422661675348,0.04827838420078561,0.9517216157992144,0.992960090152803,0.9252836033356763,0.890917378205356,0.6236421647437491,10.0,0.4379176925782624,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.867787577409675,0.9137051314208768,0.8061632395151204,0.6549055003451657,0.9698667125982023,0.9506767445634463,0.9731971536926601,0.881024529767167,False,1,0.881024529767167,0.9243710073101785,0.3193171175072364,0.8205728251780056
