stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,stage1_selection_score,stage1_combined_score,validation_count,validation_mean_selection,validation_mean_combined,validation_mean_clip,validation_mean_visual,validation_worst_selection,validation_best_selection,robustness_score,rank,render_path
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,6,1159_7_ronda_11_token_compression_cube_short_dense_006,ronda_11_token_compression_cube_short_dense,"peach grid cube, hidden hedgehog face, orange top quills, brown background",,openai/clip-vit-large-patch14,0.6094763875007629,0.4216734766960144,0.015238444320857525,0.12344409390836616,0.5961173143192664,0.7398924650969328,0.06727849445666828,0.9327215055433318,0.9677973224359155,0.852963600720969,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.3594021258346842,0.9729245879669018,0.7770455112161756,0.7708498837909108,0.71120246659815,0.9682888301413973,0.7048420880582318,0.8061349125978663,True,0,0.8361349125978663,0.8361349125978663,0.8061349125978663,3,0.7219437354398792,0.7119437354398794,0.6845678289731344,0.8426833693751966,0.6791719466434867,0.799360297866287,0.7863746295031947,1,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_01_candidate_006.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,183,1159_7_ronda_11_token_compression_cube_short_dense_183,ronda_11_token_compression_cube_short_dense,"hedgehog cube sculpture, 4x4 block sides, small dark nose, orange top quills, studio photo",,openai/clip-vit-large-patch14,0.6406435966491699,0.4885094463825226,0.015510020777583122,0.12453923388869519,0.6987437212483603,0.7269835295500581,0.07162576356950158,0.9283742364304984,0.9647257274697023,0.8450187165421411,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.476807790236608,0.7618594569972217,0.7672933129711887,0.9073783382069464,0.6809110499618743,0.9036550165231976,0.6668347092912946,0.7523646630639468,True,0,0.7823646630639468,0.7823646630639468,0.7523646630639468,3,0.6776094865308485,0.6676094865308486,0.6765966812769572,0.8368244987026575,0.5366334792656698,0.9520835328464825,0.7570605810182249,2,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_02_candidate_183.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,230,1159_7_ronda_11_token_compression_cube_short_dense_230,ronda_11_token_compression_cube_short_dense,"peach cube grid, wood cube hedgehog, buried face, orange top quills, warm macro",,openai/clip-vit-large-patch14,0.7437785863876343,0.4307565689086914,0.021058427169919014,0.14511522032481297,0.5327686049182059,0.7135467529296875,0.06601209278363028,0.9339879072163697,0.9650298496883359,0.840997776281756,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8653132844460212,0.9442405716135736,0.5840645911498065,0.6865742899883037,0.6493810297384213,0.9871172871741763,0.6705978644215101,0.8121719952115226,True,0,0.8421719952115226,0.8421719952115226,0.8121719952115226,3,0.6445507727745039,0.6445507727745039,0.7071552077929179,0.8061793230130428,0.588605023416812,0.6822328864972487,0.7434191261156557,3,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_03_candidate_230.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,97,1159_7_ronda_11_token_compression_cube_short_dense_097,ronda_11_token_compression_cube_short_dense,"hedgehog cube sculpture, peach cube grid, hidden nose, orange top quills, studio photo",,openai/clip-vit-large-patch14,0.6356503963470459,0.5006860494613647,0.013463898561894894,0.11603404053076362,0.7644850246628542,0.6664564344618055,0.07155446071944924,0.9284455392805507,0.991650731588851,0.8231914805737754,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.4579985989429204,0.7234062657641718,0.8430318790251594,0.9948369057925567,0.5388814110002319,0.9047151246051017,1.0,0.7637666837824083,True,0,0.7937666837824083,0.7937666837824083,0.7637666837824083,3,0.6452835773437687,0.6452835773437687,0.6127568483352661,0.8223831152231805,0.5312133968828955,0.8726790280886677,0.742227430128736,4,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_04_candidate_097.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,108,1159_7_ronda_11_token_compression_cube_short_dense_108,ronda_11_token_compression_cube_short_dense,"wood cube hedgehog, vertical tile sides, buried face, orange top quills",,openai/clip-vit-large-patch14,0.5932683944702148,0.43260112404823303,0.01091012917459011,0.10445156377283257,0.6369943957884129,0.8395521375868055,0.0781455489790511,0.9218544510209489,0.9665789219708418,0.893763304165563,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.2983472466084989,0.9384155454497541,0.9461735883410405,0.8252304756972109,0.9450585153996616,0.8067209220252297,0.6897658138504513,0.8204190228592495,False,1,0.8204190228592495,0.8204190228592495,0.8204190228592495,3,0.6497223225556507,0.6397223225556506,0.6734866499900818,0.8194295599018874,0.5496222630189475,0.7568122732879472,0.7411241593636242,5,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_05_candidate_108.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,95,1159_7_ronda_11_token_compression_cube_short_dense_095,ronda_11_token_compression_cube_short_dense,"hedgehog cube sculpture, 4x4 block sides, hidden nose, spiky orange top, studio photo",,openai/clip-vit-large-patch14,0.6151578426361084,0.5130689740180969,0.01374983973801136,0.11725971063417887,0.7333241391494894,0.7400727448640047,0.0721492442358049,0.9278507557641951,0.9701516593651249,0.8518108315792954,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.38080394631077424,0.6843015201367295,0.8321173128088225,0.9533821996922629,0.7116255014421643,0.8958720725782963,0.7339742413524423,0.735365929191911,False,1,0.735365929191911,0.735365929191911,0.735365929191911,3,0.6992281891766204,0.6892281891766204,0.6908259391784668,0.8393504920173208,0.5722500348049983,0.9248203468385991,0.7384380673964003,6,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_06_candidate_095.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,121,1159_7_ronda_11_token_compression_cube_short_dense_121,ronda_11_token_compression_cube_short_dense,"block hedgehog, peach cube grid, tiny hidden face, orange top quills, warm macro",,openai/clip-vit-large-patch14,0.6318602561950684,0.4497007727622986,0.015781961381435394,0.12562627663604217,0.6952189510252398,0.6816440158420138,0.06514560175637893,0.934854398243621,0.9571322835980347,0.8253653032337804,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.4437212884336451,0.8844155868601158,0.7576132204137808,0.9026891802686119,0.5745197758843615,1.0,0.5728747632207509,0.7852899486320934,True,0,0.8152899486320935,0.8152899486320935,0.7852899486320934,3,0.645656026166237,0.645656026166237,0.6933145125706991,0.8299167113326518,0.5581215885964468,0.7274282432453866,0.7339853762040586,7,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_07_candidate_121.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,240,1159_7_ronda_11_token_compression_cube_short_dense_240,ronda_11_token_compression_cube_short_dense,"wood cube hedgehog, vertical tile sides, buried face, thin orange quills",,openai/clip-vit-large-patch14,0.6067150831222534,0.4130997657775879,0.009965883567929268,0.09982927209956641,0.6774322759770268,0.8162434895833334,0.07385736875268603,0.926142631247314,0.9548907681405802,0.882437644877176,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.3490003996605131,1.0,0.9873349974335115,0.8790267786879876,0.8903636906143289,0.8704762208849067,0.5451386430810408,0.8561005896192571,True,0,0.8861005896192571,0.8861005896192571,0.8561005896192571,3,0.5811282821570208,0.5811282821570208,0.6060457130273184,0.8000446998211128,0.540929859404719,0.6015636806417786,0.7326599033856225,8,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_08_candidate_240.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,8,1159_7_ronda_11_token_compression_cube_short_dense_008,ronda_11_token_compression_cube_short_dense,"cube with hedgehog face, peach block grid, amber quills on top",,openai/clip-vit-large-patch14,0.7344620227813721,0.4377713203430176,0.014520460739731789,0.12050087443554834,0.5977223543338834,0.7947206850405092,0.06869070275634943,0.9313092972436505,0.949401501802267,0.8734628626639602,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8302181517722025,0.9220882868909853,0.8032548180563857,0.7729851396088696,0.8398594304280076,0.9472925665877515,0.47721542170329645,0.8472357144274258,True,0,0.8772357144274259,0.8772357144274259,0.8472357144274258,3,0.5857070803889833,0.5857070803889833,0.6250716050465902,0.8163757871697278,0.557478780629351,0.6024838022724593,0.7311650757147627,9,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_09_candidate_008.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,101,1159_7_ronda_11_token_compression_cube_short_dense_101,ronda_11_token_compression_cube_short_dense,"hedgehog cube sculpture, peach cube grid, small dark nose, orange quill crown, brown studio",,openai/clip-vit-large-patch14,0.668199896812439,0.4889051914215088,0.015639327466487885,0.1250572967342885,0.6362928388441506,0.7512777822989004,0.07049289054101476,0.9295071094589853,0.9642860543541012,0.8562597012159703,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5806113009623286,0.760609711106259,0.7626799743438563,0.8242971634226113,0.7379186420448893,0.9204982121652964,0.6613942710752845,0.7597834620857652,True,0,0.7897834620857652,0.7897834620857652,0.7597834620857652,3,0.6455596113514273,0.6455596113514273,0.6196024417877197,0.8522555518223881,0.47898087249694477,0.8441437953052463,0.7308012904262209,10,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-192241_notebook_ronda_11_token_compression\1159_7\rank_10_candidate_101.png
