stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,1,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_001,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.7996183633804321,0.37351393699645996,0.008767629973590374,0.09363562342180659,0.8200574231724082,0.754087660047743,0.0655858823016027,0.9344141176983973,0.9887106466220487,0.8641265175403331,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9214440633982008,0.9637329996848998,0.9735543063752634,0.9808303229129846,0.8537803138373748,0.9548147657101875,0.9579681086806513,0.9511000010002464,True,0,0.9811000010002464
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,2,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_002,ronda_10_hybrid_repair_cube_hybrid_ablation,"pale wood cube with hidden hedgehog face, tiny nose barely visible below orange quills, amber spiky fur on the top surface, square tiled cube sides, warm brown macro photo",,openai/clip-vit-large-patch14,0.6417701840400696,0.5449905395507812,0.026922600343823433,0.16408107856734558,0.6477750545180042,0.5450575086805557,0.07731064812983396,0.922689351870166,0.9791714418407426,0.7640514404289567,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.4992039908716846,0.5141858010183684,0.54621002736797,0.7955373427299091,0.4472809040134171,0.7907706900585545,0.8586856225595116,0.5981610552071408,False,1,0.5981610552071408
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,3,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_003,ronda_10_hybrid_repair_cube_hybrid_ablation,"pale peach square-cell cube hedgehog, front and right sides built from small square cells, tiny dark nose at the top front center, thin orange hairlike quills rising from the top square, soft macro product photo",,openai/clip-vit-large-patch14,0.7588573098182678,0.5710652470588684,0.03324360027909279,0.1823282761370073,0.5486145896270701,0.5863178394458912,0.07712045294794874,0.9228795470520512,0.9387471385541608,0.7746002969297011,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8124092282530067,0.4458277186811792,0.43551678998025567,0.68888836756497,0.5275195681274164,0.7934317575172011,0.43795607308261264,0.5685399137101084,False,1,0.5685399137101084
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,4,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_004,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, visible 4 by 4 peach blocks on the front and right face, tiny nose barely visible below orange quills, thin orange hairlike quills rising from the top square, realistic studio object photo",,openai/clip-vit-large-patch14,0.6277880072593689,0.5943171977996826,0.02077637054026127,0.14414010732707697,0.6345403443432006,0.6350877549913194,0.07278160873503209,0.9272183912649679,0.976670188083117,0.8056499643054559,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.4618020052255189,0.3848698435929211,0.6671782283650701,0.7813031589924664,0.6223620669569555,0.8541375915382559,0.8326529817713025,0.5880598784717184,False,1,0.5880598784717184
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,5,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_005,ronda_10_hybrid_repair_cube_hybrid_ablation,"pale peach square-cell cube hedgehog, warm peach beige 4 by 4 cube grid sides, small centered face peeking from under the top tuft, amber quill fur only on the top surface, warm brown macro photo",,openai/clip-vit-large-patch14,0.6793503761291504,0.49651604890823364,0.04395902156829834,0.2096640683767687,0.24959560085504723,0.6540849473741319,0.08190301397230136,0.9180969860276986,0.9618637802693205,0.8080449274819179,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.599730098296963,0.6412676952857861,0.26968927986395874,0.36728773022963357,0.6593057683388686,0.7265177727109223,0.67855030634096,0.5586465922951058,False,1,0.5586465922951058
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,6,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_006,ronda_10_hybrid_repair_cube_hybrid_ablation,"compact cubical hedgehog object, front and right sides built from small square cells, pinpoint dark eyes and tiny nose at the top front edge, bristly orange crown with fine pointed strands, centered square crop with gentle shadows",,openai/clip-vit-large-patch14,0.6582704186439514,0.5812550783157349,0.021509254351258278,0.14666033666693348,0.5895934319173038,0.7138609709563078,0.07385888821130959,0.9261411117886904,0.9518648739907795,0.8357598008545362,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.543341720460727,0.4191138111965833,0.651889724827845,0.7329618956439883,0.775551765142906,0.8390651100496368,0.5744833220813028,0.599979845592904,False,1,0.599979845592904
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,7,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_007,ronda_10_hybrid_repair_cube_hybrid_ablation,"warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.6692063212394714,0.5212416052818298,0.027907205745577812,0.16705449932754823,0.4404541841064969,0.6798892550998265,0.06766104957568289,0.9323389504243171,0.9659194086290323,0.8254526791692394,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5725949961359477,0.5764465801152753,0.5281723221912636,0.5725597842441795,0.7094872172485268,0.9257805911871169,0.7207606242413218,0.6293474087628277,False,1,0.6293474087628277
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,8,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_008,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.7315254807472229,0.5127199292182922,0.021767117083072662,0.14753683297086415,0.6090761131975204,0.670377943250868,0.07975920111431688,0.9202407988856831,0.9872661551626989,0.8212075851054194,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7392972447162452,0.5987872116955715,0.6465726226772242,0.7539158917177825,0.6909906385111295,0.7565123844422169,0.9429340773800503,0.6874156281354092,False,1,0.6874156281354092
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,9,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_009,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.7745978832244873,0.5494393110275269,0.02364014834165573,0.15375353115182666,0.3627754991334209,0.7761043972439237,0.06781879646870775,0.9321812035312922,0.9534796571596797,0.8662063314276539,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8545148824609015,0.5025227943743862,0.6088601769777713,0.48901487394499316,0.8965961019806615,0.9235735156998703,0.591289721695364,0.6493874532891265,False,1,0.6493874532891265
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,10,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_010,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, realistic studio object photo",,openai/clip-vit-large-patch14,0.7683212161064148,0.46964916586875916,0.02461107261478901,0.1568791656491996,0.34515172902246133,0.7441943133318866,0.06968417829564223,0.9303158217043578,0.9687109154451194,0.8542401616848981,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8377249493097242,0.7117025641097762,0.5898990954152974,0.47006017236161884,0.8345407946824808,0.8974745008436419,0.7498141714791763,0.712394872630415,False,1,0.712394872630415
