stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,240,1159_7_ronda_11_token_compression_cube_short_dense_240,ronda_11_token_compression_cube_short_dense,"wood cube hedgehog, vertical tile sides, buried face, thin orange quills",,openai/clip-vit-large-patch14,0.6067150831222534,0.4130997657775879,0.009965883567929268,0.09982927209956641,0.6774322759770268,0.8162434895833334,0.07385736875268603,0.926142631247314,0.9548907681405802,0.882437644877176,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.3490003996605131,1.0,0.9873349974335115,0.8790267786879876,0.8903636906143289,0.8704762208849067,0.5451386430810408,0.8561005896192571,True,0,0.8861005896192571
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,8,1159_7_ronda_11_token_compression_cube_short_dense_008,ronda_11_token_compression_cube_short_dense,"cube with hedgehog face, peach block grid, amber quills on top",,openai/clip-vit-large-patch14,0.7344620227813721,0.4377713203430176,0.014520460739731789,0.12050087443554834,0.5977223543338834,0.7947206850405092,0.06869070275634943,0.9313092972436505,0.949401501802267,0.8734628626639602,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8302181517722025,0.9220882868909853,0.8032548180563857,0.7729851396088696,0.8398594304280076,0.9472925665877515,0.47721542170329645,0.8472357144274258,True,0,0.8772357144274259
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,200,1159_7_ronda_11_token_compression_cube_short_dense_200,ronda_11_token_compression_cube_short_dense,"wood cube hedgehog, vertical tile sides, small peeking face, thin orange quills",,openai/clip-vit-large-patch14,0.5932018756866455,0.42506447434425354,0.009683944284915924,0.09840703371668066,0.6899135470069423,0.7989343713831017,0.0733589386241475,0.9266410613758524,0.9599002877762791,0.8758248961592,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.2980966729384927,0.9622159625650331,1.0,0.8956311663290687,0.8497470410768156,0.8778867214068432,0.6071255626875504,0.8415369980476214,True,0,0.8715369980476214
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,176,1159_7_ronda_11_token_compression_cube_short_dense_176,ronda_11_token_compression_cube_short_dense,"hedgehog cube sculpture, peach 4x4 grid sides, tiny hidden face, orange quill crown, studio photo",,openai/clip-vit-large-patch14,0.7518540024757385,0.4924754202365875,0.012270255014300346,0.11077118314029306,0.7160273096241487,0.7363416883680555,0.06837165245429841,0.9316283475457016,0.9837345427570079,0.8541705899580221,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8957330627017949,0.7493350813525377,0.8898975122125653,0.9303714613057578,0.7028704041375192,0.952036104938465,0.9020464642532653,0.8392998041633674,True,0,0.8692998041633674
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,230,1159_7_ronda_11_token_compression_cube_short_dense_230,ronda_11_token_compression_cube_short_dense,"peach cube grid, wood cube hedgehog, buried face, orange top quills, warm macro",,openai/clip-vit-large-patch14,0.7437785863876343,0.4307565689086914,0.021058427169919014,0.14511522032481297,0.5327686049182059,0.7135467529296875,0.06601209278363028,0.9339879072163697,0.9650298496883359,0.840997776281756,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8653132844460212,0.9442405716135736,0.5840645911498065,0.6865742899883037,0.6493810297384213,0.9871172871741763,0.6705978644215101,0.8121719952115226,True,0,0.8421719952115226
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,6,1159_7_ronda_11_token_compression_cube_short_dense_006,ronda_11_token_compression_cube_short_dense,"peach grid cube, hidden hedgehog face, orange top quills, brown background",,openai/clip-vit-large-patch14,0.6094763875007629,0.4216734766960144,0.015238444320857525,0.12344409390836616,0.5961173143192664,0.7398924650969328,0.06727849445666828,0.9327215055433318,0.9677973224359155,0.852963600720969,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.3594021258346842,0.9729245879669018,0.7770455112161756,0.7708498837909108,0.71120246659815,0.9682888301413973,0.7048420880582318,0.8061349125978663,True,0,0.8361349125978663
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,108,1159_7_ronda_11_token_compression_cube_short_dense_108,ronda_11_token_compression_cube_short_dense,"wood cube hedgehog, vertical tile sides, buried face, orange top quills",,openai/clip-vit-large-patch14,0.5932683944702148,0.43260112404823303,0.01091012917459011,0.10445156377283257,0.6369943957884129,0.8395521375868055,0.0781455489790511,0.9218544510209489,0.9665789219708418,0.893763304165563,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.2983472466084989,0.9384155454497541,0.9461735883410405,0.8252304756972109,0.9450585153996616,0.8067209220252297,0.6897658138504513,0.8204190228592495,False,1,0.8204190228592495
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,102,1159_7_ronda_11_token_compression_cube_short_dense_102,ronda_11_token_compression_cube_short_dense,"wood cube hedgehog, vertical tile sides, buried face, spiky orange top",,openai/clip-vit-large-patch14,0.6034899950027466,0.44355183839797974,0.010718238539993763,0.1035289261027746,0.6409268690716378,0.8244685420283565,0.07754021470777646,0.9224597852922235,0.972771982292652,0.8884261652235691,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.3368516181760213,0.9038336583419291,0.9543896571800166,0.8304620190733908,0.9096641580744621,0.8157208393183124,0.7663976588582317,0.8169203069617323,False,1,0.8169203069617323
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,121,1159_7_ronda_11_token_compression_cube_short_dense_121,ronda_11_token_compression_cube_short_dense,"block hedgehog, peach cube grid, tiny hidden face, orange top quills, warm macro",,openai/clip-vit-large-patch14,0.6318602561950684,0.4497007727622986,0.015781961381435394,0.12562627663604217,0.6952189510252398,0.6816440158420138,0.06514560175637893,0.934854398243621,0.9571322835980347,0.8253653032337804,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.4437212884336451,0.8844155868601158,0.7576132204137808,0.9026891802686119,0.5745197758843615,1.0,0.5728747632207509,0.7852899486320934,True,0,0.8152899486320935
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,127,1159_7_ronda_11_token_compression_cube_short_dense_127,ronda_11_token_compression_cube_short_dense,"wood cube hedgehog, visible block sides, tiny hidden face, thin orange quills",,openai/clip-vit-large-patch14,0.6053251624107361,0.4596221148967743,0.011287661269307137,0.10624340576857999,0.7130751063422567,0.745290685583044,0.07785372724839508,0.9221462727516049,0.9547129032116097,0.8490745846177534,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.3437646224106265,0.8530844131398843,0.9302172734588355,0.9264440145280766,0.7238696416138979,0.8110596346421414,0.5429377735656606,0.780893080644902,True,0,0.8108930806449021
