stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,region_score,heuristic_score,saliency_component_count,largest_component_fraction,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,region_norm,heuristic_norm,maxstack_score,teal_belly_score,side_asymmetry_score
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,1,1159_25_round41_final_extensive_001,round41_final_extensive,"realistic orange juice still life, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, two bright orange slices behind the glass, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.9167224764823914,0.6060000061988831,0.039885349571704865,0.19971316824812746,0.3619070478177481,0.7849307590060763,0.07794606459775619,0.9220539354022438,0.9529323812827772,0.8665241952000751,0.8665241952000751,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5672440024797726,0.22856492842006382,0.4315146088462033,0.2949316203333203,0.8615589637282094,0.5091143191408388,0.6853597931717077,0.4437830997475461,False,1,0.4437830997475461,0.842803405336785,0.5,0.5633791513478765,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,2,1159_25_round41_final_extensive_002,round41_final_extensive,"single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, two bright orange slices behind the glass, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.9219765067100525,0.5332896709442139,0.03188502416014671,0.1785637817703991,0.5007031749786133,0.7890201144748265,0.07130729755612136,0.9286927024438787,0.9656521682517325,0.8732319310193759,0.8732319310193759,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6255027950314664,0.417103298069497,0.5813494724031123,0.5135161519259936,0.8698008440068116,0.7633098888599898,0.7848992979269964,0.5758315906783654,False,1,0.5758315906783654,0.8708222323549197,0.5,0.6478125476528296,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,3,1159_25_round41_final_extensive_003,round41_final_extensive,"realistic orange juice still life, curved yellow fruit garnish on the rim, two bright orange slices behind the glass, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.9257297515869141,0.5723854899406433,0.04111688956618309,0.2027730000916865,0.34278289358750985,0.7466035065827547,0.07432795320851471,0.9256720467914853,0.9720938087129702,0.8543755560818536,0.8543755560818536,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6671202782209614,0.31572758651654,0.4098369357245951,0.264813746153173,0.7843124078113345,0.6476502671757167,0.8353087664887091,0.4958902952994501,False,1,0.4958902952994501,0.7920574267936599,0.5,0.5793924507759058,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,4,1159_25_round41_final_extensive_004,round41_final_extensive,"realistic orange juice still life, single tall clear glass of creamy orange juice, two bright orange slices behind the glass, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.938785195350647,0.590259313583374,0.03793293982744217,0.19476380522941672,0.38680446274386654,0.7752662941261574,0.07641178948169418,0.9235882105183059,0.9543383327904982,0.8629933725962775,0.8629933725962775,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8118842702317582,0.26938064619232327,0.4665788473943556,0.33414157446400383,0.8420807444572902,0.5678610615385463,0.6963621564290531,0.5273238843209072,False,1,0.5273238843209072,0.8280548358593074,0.5,0.6077032069467323,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,5,1159_25_round41_final_extensive_005,round41_final_extensive,"realistic orange juice still life, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.911399245262146,0.6074686646461487,0.03826257213950157,0.19560821081821073,0.38644902030480227,0.7797506826895254,0.08205829753469072,0.9179417024653093,0.9687812973378965,0.865923662540724,0.865923662540724,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.5082178815921832,0.22475668756613998,0.4605965747493843,0.33358180222366624,0.8511187931044302,0.3516586669593,0.809386497304811,0.4304072078397235,False,1,0.4304072078397235,0.8402949254034097,0.5,0.5549187596599944,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,6,1159_25_round41_final_extensive_006,round41_final_extensive,"realistic orange juice still life, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, two bright orange slices behind the glass, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.9200464487075806,0.5791800022125244,0.03896161913871765,0.19738697813867473,0.45539930109363863,0.6948541711877892,0.08112807857879742,0.9188719214212026,0.9425299111511551,0.8227955317621571,0.8227955317621571,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6041015384900089,0.29810937224457,0.4479947265093951,0.4421688726103149,0.6800143515328233,0.38727635560146956,0.6039545992277723,0.4626890500053307,False,1,0.4626890500053307,0.6601447721396058,0.5,0.5232001852021814,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,7,1159_25_round41_final_extensive_007,round41_final_extensive,"realistic orange juice still life, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, two bright orange slices behind the glass, round wooden plate cropped on the left, warm product photography",,openai/clip-vit-large-patch14,0.9237538576126099,0.5951420068740845,0.039197154343128204,0.1979827122329831,0.3806395811231612,0.7319929334852432,0.08282783013276752,0.9171721698672325,0.9293379796348429,0.8362746754488594,0.8362746754488594,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6452107740565034,0.25671979090532115,0.44377419099500115,0.3244327462066826,0.7548655682808348,0.3221935906945647,0.5007202971829119,0.4514225615929464,False,1,0.4514225615929464,0.7164483901538371,0.5,0.5324306349669833,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,8,1159_25_round41_final_extensive_008,round41_final_extensive,"realistic orange juice still life, single tall clear glass of creamy orange juice, curved yellow fruit garnish on the rim, two bright orange slices behind the glass, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop",,openai/clip-vit-large-patch14,0.9260826110839844,0.5934432744979858,0.039294157177209854,0.19822753889712158,0.37764992134201075,0.7673091182002314,0.0824199617534427,0.9175800382465573,0.950642162450426,0.8565705490664843,0.8565705490664843,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6710329257218239,0.2611246149449652,0.4420396929349789,0.3197244492516327,0.8260434760323707,0.33781069766679084,0.6674375395278479,0.47304658311936315,False,1,0.47304658311936315,0.8012261135754836,0.5,0.568710330010366,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,9,1159_25_round41_final_extensive_009,round41_final_extensive,"curved yellow fruit garnish on the rim, two bright orange slices behind the glass, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.8725192546844482,0.5814112424850464,0.03669999539852142,0.19157242859691848,0.3763840564669875,0.7459196867766203,0.07365005415253581,0.9263499458474642,0.96395901410901,0.8526781429178936,0.8526781429178936,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.07710096613312784,0.29232375178491976,0.48918846223082557,0.3177308887220519,0.7829342050560679,0.6736067340416186,0.7716494121189789,0.35267873507327846,False,1,0.35267873507327846,0.7849671765064539,0.5,0.4943444757643086,,
stage1_fixed_seed,1159_25.png,c:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\ProjetoCunha\Projeto2\TP2-students\students\tp2-chosen\1159_25.png,1159,fixed,10,1159_25_round41_final_extensive_010,round41_final_extensive,"single tall clear glass of creamy orange juice, two bright orange slices behind the glass, round wooden plate cropped on the left, small citrus cubes scattered on brown tabletop, warm product photography",,openai/clip-vit-large-patch14,0.9289070963859558,0.5475900173187256,0.034911517053842545,0.18684623906796344,0.4491888939221362,0.7617662217881943,0.0752017309496347,0.9247982690503653,0.9639304834536413,0.8592602906630435,0.8592602906630435,0.5,0.0,0.0,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7023519505737448,0.3800224074171673,0.5226716067164017,0.4323883479634759,0.8148720606409211,0.6141936886696567,0.7714261436544462,0.5552028940899928,False,1,0.5552028940899928,0.8124614106336389,0.5,0.6195068735496148,,
