stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,1,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_001,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.7996183633804321,0.37351393699645996,0.008767629973590374,0.09363562342180659,0.8200574231724082,0.754087660047743,0.0655858823016027,0.9344141176983973,0.9887106466220487,0.8641265175403331,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9214440633982008,0.9637329996848998,0.9735543063752634,0.9808303229129846,0.8537803138373748,0.9548147657101875,0.9579681086806513,0.9511000010002464,True,0,0.9811000010002464
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,111,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_111,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, small centered face peeking from under the top tuft, thin orange hairlike quills rising from the top square, realistic studio object photo",,openai/clip-vit-large-patch14,0.7503598928451538,0.39014172554016113,0.008110328577458858,0.09005736270543824,0.7698733877561503,0.8292767560040509,0.06235634603924547,0.9376436539607546,0.9772401980064616,0.8967978586893793,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7896788428028259,0.9201411880412538,0.9952611608881253,0.9268564336954258,1.0,1.0,0.8385855520012938,0.9293192531840542,True,0,0.9593192531840542
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,55,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_055,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, thin orange hairlike quills rising from the top square, realistic studio object photo",,openai/clip-vit-large-patch14,0.7566443085670471,0.3989648222923279,0.007970238104462624,0.08927619001986264,0.8307709353832945,0.7183577926070601,0.06553466758789135,0.9344653324121086,0.9927491314979375,0.8488736993170025,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8064895032823319,0.8970103447109293,1.0,0.9923529100545919,0.784296701388507,0.9555313233364644,1.0,0.9160185978280342,True,0,0.9460185978280342
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,57,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_057,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, thin orange hairlike quills rising from the top square, soft macro product photo",,openai/clip-vit-large-patch14,0.8053837418556213,0.3596801459789276,0.011783326044678688,0.1085510296804166,0.685105434668158,0.668426513671875,0.06267764876553189,0.9373223512344682,0.9645978608845905,0.8217743262613257,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9368663117616587,1.0,0.8830727625976276,0.8356868800471295,0.6871957076507476,0.9955045747172973,0.7070061710553411,0.91018263741458,True,0,0.9401826374145801
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,210,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_210,ronda_10_hybrid_repair_cube_hybrid_ablation,"tiny hedgehog embedded in a pale block cube, regular square lattice sides with shallow grooves, tiny nose barely visible below orange quills, thin orange hairlike quills rising from the top square, soft macro product photo",,openai/clip-vit-large-patch14,0.828985333442688,0.39493516087532043,0.011735104024410248,0.10832868514114924,0.7717544246660207,0.6439949318214698,0.067570897222991,0.932429102777009,0.9437940583001566,0.804906716951646,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,1.0,0.9075746023099591,0.8844215744780833,0.9288795248427469,0.6396837887323632,0.927041934874642,0.49048358990647606,0.8753336918528493,True,0,0.9053336918528493
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,36,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_036,ronda_10_hybrid_repair_cube_hybrid_ablation,"pale wood cube with hidden hedgehog face, tiny nose barely visible below orange quills, amber spiky fur on the top surface",,openai/clip-vit-large-patch14,0.7073702216148376,0.39109066128730774,0.01242675818502903,0.11147537030675893,0.8378810739746566,0.6341304072627314,0.06536104743950827,0.9346389525604917,0.9828307341130474,0.8090484634870108,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6746825091483253,0.9176534351904873,0.8653327929437423,1.0,0.620500319816067,0.9579604854343053,0.8967709391626593,0.8684028219978217,True,0,0.8984028219978217
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,67,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_067,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, messy amber quill tuft covering the top plane, realistic studio object photo",,openai/clip-vit-large-patch14,0.7497876286506653,0.3902430534362793,0.009517338126897812,0.09755684561781307,0.7600407165732298,0.7315894232855902,0.0681417167620286,0.9318582832379714,0.9673201565327932,0.8488296709183641,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7881480498852583,0.9198755443839376,0.9497669396996163,0.9162812079142064,0.8100281570022131,0.9190554586398806,0.7353393797563412,0.8888732072153611,False,1,0.8888732072153611
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,247,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_247,ronda_10_hybrid_repair_cube_hybrid_ablation,"tiny hedgehog embedded in a pale block cube, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.7493577003479004,0.37867772579193115,0.01276940293610096,0.11300178288903658,0.7670152982579,0.7007084599247685,0.0706768826263031,0.9293231173736969,0.9798946894860837,0.8365608359441565,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7869980020449902,0.9501954863861142,0.8560730943145908,0.9237825038156765,0.7499741729292733,0.8835853309698581,0.8662130659845073,0.8828474838391471,False,1,0.8828474838391471
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,322,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_322,ronda_10_hybrid_repair_cube_hybrid_ablation,"tiny hedgehog embedded in a pale block cube, straight vertical sides divided into square cells, tiny face mostly hidden below orange spiky fur, bristly orange crown with fine pointed strands, centered square crop with gentle shadows",,openai/clip-vit-large-patch14,0.7907211780548096,0.3975236117839813,0.011304941028356552,0.10632469622978732,0.8007589341082376,0.7384502269603588,0.07207929909252442,0.9279207009074756,0.9371636536974759,0.844507578189273,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8976443072472465,0.9007886569533282,0.8965784012697519,0.9600744290878666,0.8233703118371508,0.8639637780748775,0.4214754211927462,0.8721346486996528,False,1,0.8721346486996528
stage1_fixed_seed,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed,58,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_058,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, thin orange hairlike quills rising from the top square, centered square crop with gentle shadows",,openai/clip-vit-large-patch14,0.7576387524604797,0.38388705253601074,0.013930799439549446,0.1180288076680835,0.6168953830327366,0.7313362404152199,0.06432548078968132,0.9356745192103186,0.9610860152042303,0.8488045929513065,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8091496167118389,0.9365385897025111,0.8255775815052077,0.7623256658690145,0.8095357941219785,0.972449352532826,0.6704554545109994,0.8615349647934947,False,1,0.8615349647934947
