stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,312,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_312,ronda_10_hybrid_repair_dragon_hybrid_ablation,"compact fantasy quilled hamster creature, pointed orange snout and dark eye, turquoise oval belly, rainbow quills behind the back, small paws near the belly, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8596524000167847,0.5493801832199097,0.014879968017339706,0.12198347436165158,0.6634764264148908,0.794576574254919,0.05294694926957413,0.9470530507304259,0.9720509010312672,0.883438206376616,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9133885563590614,0.9662637115064547,0.9448093346232606,0.8908644764363914,0.8581360094624244,0.8637616013224124,0.7784484017243811,0.9096578440112741,True,0,0.9396578440112742
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,1,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_001,ronda_10_hybrid_repair_dragon_hybrid_ablation,"colorful dragon hamster with orange face and teal belly, rainbow quills behind the back, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8266381621360779,0.560587465763092,0.015431376174092293,0.12422309034190179,0.680198047527741,0.8541101526331017,0.04850341835661372,0.9514965816433862,0.989212960204528,0.9152159643009866,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8132795164578317,0.9155928501823889,0.9237945573644909,0.9316480276661618,0.9625786098048718,0.9322900956583456,0.9532027126784511,0.9086208728049435,True,0,0.9386208728049436
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,335,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_335,ronda_10_hybrid_repair_dragon_hybrid_ablation,"orange teal dragon hamster, round vertical animal body, warm orange animal face, blue green chest spot, rainbow quills behind the back, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8010150194168091,0.5709362030029297,0.01481825951486826,0.12173027361699414,0.708222968095427,0.7967489737051504,0.053737356450948855,0.9462626435490511,0.9938087713737963,0.8884907176842448,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7355824868869262,0.8688036818413087,0.9471851692742244,1.0,0.8619471535889098,0.851571877629045,1.0,0.8685967621666983,True,0,0.8985967621666984
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,9,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_009,ronda_10_hybrid_repair_dragon_hybrid_ablation,"colorful dragon hamster with orange face and teal belly, rainbow quills behind the back, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8310072422027588,0.5844383835792542,0.015436790883541107,0.12424488272577308,0.6903916155455223,0.8102903012876158,0.04730404511999157,0.9526959548800085,0.9806525317129561,0.8942047261300213,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8265278734941948,0.8077570260691094,0.9235900749456158,0.9565098458273119,0.8857033514075158,0.9507869270436772,0.8660353298245901,0.8685444617247576,True,0,0.8985444617247577
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,316,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_316,ronda_10_hybrid_repair_dragon_hybrid_ablation,"rainbow quilled hamster dragon, warm orange animal face, teal blue oval belly patch, rainbow quills behind the back, little pink paws near the chest, soft glowing brushwork",,openai/clip-vit-large-patch14,0.8541486263275146,0.5419184565544128,0.020889421924948692,0.14453173328009558,0.6404524600451333,0.7181362575954862,0.05582109269890944,0.9441789073010906,0.9725356557786455,0.8481310646290796,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8966994690065874,1.0,0.7332343847556367,0.8347096870402897,0.7240331105539147,0.8194363281160542,0.7833844633592107,0.8595627790630547,True,0,0.8895627790630547
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,186,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_186,ronda_10_hybrid_repair_dragon_hybrid_ablation,"orange teal spiky hamster creature, round vertical animal body, pointed orange snout and dark eye, turquoise oval belly, painted scale-like rainbow spines, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8260094523429871,0.5665881633758545,0.015134450048208237,0.12302215267263143,0.6111059991637408,0.8658938937717013,0.05612788289563061,0.9438721171043694,0.9899574479345273,0.9179989827707004,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8113730803925726,0.8884622308362294,0.9350632024554064,0.7631345160271772,0.983251389768803,0.8147049848059382,0.9607835302806013,0.8782479241195983,False,1,0.8782479241195983
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,187,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_187,ronda_10_hybrid_repair_dragon_hybrid_ablation,"compact fantasy quilled hamster creature, pointed orange snout and dark eye, turquoise oval belly, orange yellow teal quills around the silhouette, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8383340835571289,0.5494660139083862,0.016952844336628914,0.13020308881370254,0.6363705000572399,0.7396918402777778,0.04911023421860355,0.9508897657813965,0.9833464501149856,0.862342036171486,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8487450470707885,0.9658756500030182,0.8676830020796262,0.8247539044543424,0.7618490989182259,0.9229317321911239,0.8934664119203003,0.8764245744301246,False,1,0.8764245744301246
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,278,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_278,ronda_10_hybrid_repair_dragon_hybrid_ablation,"rainbow quilled hamster dragon, orange face and teal belly, teal blue oval belly patch, rainbow bristles framing the shoulders, small paws near the belly, dark teal fantasy background with yellow flame arcs",,openai/clip-vit-large-patch14,0.8767618536949158,0.5419807434082031,0.020960284397006035,0.1447766707622676,0.5847082692275888,0.6158729835792824,0.05504600064912114,0.9449539993508789,0.9876373655168743,0.8054042154868597,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9652695353215719,0.9997183859228533,0.7309360859956886,0.6987512146752912,0.5446277640461581,0.8313898606072592,0.93715906889398,0.8393859900564627,True,0,0.8693859900564628
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,185,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_185,ronda_10_hybrid_repair_dragon_hybrid_ablation,"colorful dragon hamster, round vertical animal body, pointed orange snout and dark eye, blue green chest spot, rainbow quills behind the back, little pink paws near the chest, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8262380361557007,0.5644619464874268,0.016294918954372406,0.12765155288664687,0.6585707060068846,0.7931710702401621,0.05647225058885454,0.9435277494111455,0.9890764331769378,0.8849769805373614,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8120662148550554,0.8980753766352481,0.8916245883371208,0.8788995659633813,0.8556702666313709,0.8093941182953125,0.9518125131463171,0.8661025945905866,False,1,0.8661025945905866
stage1_fixed_seed,9338.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\9338.png,9338,fixed,355,9338_ronda_10_hybrid_repair_dragon_hybrid_ablation_355,ronda_10_hybrid_repair_dragon_hybrid_ablation,"orange teal spiky hamster creature, pointed orange snout and dark eye, teal blue oval belly patch, painted scale-like rainbow spines, tiny clawed paws, vertical storybook illustration",,openai/clip-vit-large-patch14,0.8376795053482056,0.5693466067314148,0.01503249816596508,0.12260708856328446,0.594834981104088,0.8379352710865162,0.0636400318675378,0.9363599681324621,0.9902587157349964,0.9028486039822933,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.846760170234547,0.8759906347823837,0.9389578343400484,0.7234499726376363,0.9342022424676861,0.6988520137439985,0.963851218507993,0.8602109501277357,False,1,0.8602109501277357
