stage,target_name,target_path,render_seed,seed_role,candidate_index,prompt_id,prompt_source,prompt,negative_prompt,clip_model,clip_iisim,lpips_alex,pixel_mse_01,pixel_rmse_01,pixel_ssim_01,color_hist_sim,edge_rmse,edge_sim,layout_sim,visual_specific_score,model_id,num_inference_steps,guidance_scale,original_inference_steps,width,height,clip_norm,lpips_norm,rmse_norm,ssim_norm,color_norm,edge_norm,layout_norm,combined_score,is_pareto,pareto_rank,selection_score,stage1_selection_score,stage1_combined_score,validation_count,validation_mean_selection,validation_mean_combined,validation_mean_clip,validation_mean_visual,validation_worst_selection,validation_best_selection,robustness_score,rank,render_path
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,1,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_001,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, amber quill fur only on the top surface, realistic studio object photo",,openai/clip-vit-large-patch14,0.7996183633804321,0.37351393699645996,0.008767629973590374,0.09363562342180659,0.8200574231724082,0.754087660047743,0.0655858823016027,0.9344141176983973,0.9887106466220487,0.8641265175403331,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9214440633982008,0.9637329996848998,0.9735543063752634,0.9808303229129846,0.8537803138373748,0.9548147657101875,0.9579681086806513,0.9511000010002464,True,0,0.9811000010002464,0.9811000010002464,0.9511000010002464,3,0.5806970414932006,0.5706970414932006,0.6932757099469503,0.853609883269607,0.4877882603912472,0.7420294726786989,0.7958075078143529,1,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_01_candidate_001.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,111,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_111,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, small centered face peeking from under the top tuft, thin orange hairlike quills rising from the top square, realistic studio object photo",,openai/clip-vit-large-patch14,0.7503598928451538,0.39014172554016113,0.008110328577458858,0.09005736270543824,0.7698733877561503,0.8292767560040509,0.06235634603924547,0.9376436539607546,0.9772401980064616,0.8967978586893793,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7896788428028259,0.9201411880412538,0.9952611608881253,0.9268564336954258,1.0,1.0,0.8385855520012938,0.9293192531840542,True,0,0.9593192531840542,0.9593192531840542,0.9293192531840542,3,0.5714305033096025,0.5614305033096025,0.7441142598787943,0.8357081591647573,0.530077764800227,0.652499402998103,0.773399939349166,2,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_02_candidate_111.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,55,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_055,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, thin orange hairlike quills rising from the top square, realistic studio object photo",,openai/clip-vit-large-patch14,0.7566443085670471,0.3989648222923279,0.007970238104462624,0.08927619001986264,0.8307709353832945,0.7183577926070601,0.06553466758789135,0.9344653324121086,0.9927491314979375,0.8488736993170025,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.8064895032823319,0.8970103447109293,1.0,0.9923529100545919,0.784296701388507,0.9555313233364644,1.0,0.9160185978280342,True,0,0.9460185978280342,0.9460185978280342,0.9160185978280342,3,0.5337950115426432,0.5237950115426432,0.7140278220176697,0.8275396674133336,0.4629986635902316,0.6661194917914236,0.7526758419274147,3,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_03_candidate_055.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,67,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_067,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, messy amber quill tuft covering the top plane, realistic studio object photo",,openai/clip-vit-large-patch14,0.7497876286506653,0.3902430534362793,0.009517338126897812,0.09755684561781307,0.7600407165732298,0.7315894232855902,0.0681417167620286,0.9318582832379714,0.9673201565327932,0.8488296709183641,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7881480498852583,0.9198755443839376,0.9497669396996163,0.9162812079142064,0.8100281570022131,0.9190554586398806,0.7353393797563412,0.8888732072153611,False,1,0.8888732072153611,0.8888732072153611,0.8888732072153611,3,0.5689747355798658,0.5589747355798659,0.7177285353342692,0.8379300120660177,0.47838439116820747,0.7465786068716322,0.7465055176502126,4,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_04_candidate_067.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,26,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_026,ronda_10_hybrid_repair_cube_hybrid_ablation,"pale wood cube with hidden hedgehog face, tiny nose barely visible below orange quills, amber spiky fur on the top surface, square tiled cube sides",,openai/clip-vit-large-patch14,0.7240658402442932,0.44186511635780334,0.018312625586986542,0.13532415005085582,0.7089288397420309,0.6884166576244213,0.07155505617960747,0.9284449438203926,0.9575937759227298,0.8262619814526729,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7193428862932251,0.7845418986849154,0.7206585969450211,0.8613094075217869,0.726070394703582,0.8712985893049076,0.6341087981653113,0.7747420105758206,False,1,0.7747420105758206,0.7747420105758206,0.7747420105758206,3,0.6695350427632601,0.6595350427632601,0.6884103417396545,0.8218841582165611,0.5359447814140248,0.9147638064850195,0.7455638150928807,5,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_05_candidate_026.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,36,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_036,ronda_10_hybrid_repair_cube_hybrid_ablation,"pale wood cube with hidden hedgehog face, tiny nose barely visible below orange quills, amber spiky fur on the top surface",,openai/clip-vit-large-patch14,0.7073702216148376,0.39109066128730774,0.01242675818502903,0.11147537030675893,0.8378810739746566,0.6341304072627314,0.06536104743950827,0.9346389525604917,0.9828307341130474,0.8090484634870108,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.6746825091483253,0.9176534351904873,0.8653327929437423,1.0,0.620500319816067,0.9579604854343053,0.8967709391626593,0.8684028219978217,True,0,0.8984028219978217,0.8984028219978217,0.8684028219978217,3,0.5511880182814664,0.5411880182814662,0.7174722154935201,0.7954892602987282,0.3531391477517362,0.7926289775041663,0.741206676970076,6,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_06_candidate_036.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,63,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_063,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, bristly orange crown with fine pointed strands, realistic studio object photo",,openai/clip-vit-large-patch14,0.7435080409049988,0.4349541664123535,0.012922393158078194,0.11367670455321176,0.6854641537327296,0.7684303566261574,0.07194323410659142,0.9280567658934086,0.9858099439501207,0.867775517334488,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.7713503041257109,0.8026598118102202,0.8519788073039175,0.8360726892569872,0.8816724511978266,0.8658674966798313,0.9277780688010574,0.8315961668589931,False,1,0.8315961668589931,0.8315961668589931,0.8315961668589931,3,0.6009299731579391,0.590929973157939,0.7459298173586527,0.8407492977947992,0.49672554246365974,0.7075536347620524,0.7218361761796551,7,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_07_candidate_063.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,57,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_057,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, thin orange hairlike quills rising from the top square, soft macro product photo",,openai/clip-vit-large-patch14,0.8053837418556213,0.3596801459789276,0.011783326044678688,0.1085510296804166,0.685105434668158,0.668426513671875,0.06267764876553189,0.9373223512344682,0.9645978608845905,0.8217743262613257,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9368663117616587,1.0,0.8830727625976276,0.8356868800471295,0.6871957076507476,0.9955045747172973,0.7070061710553411,0.91018263741458,True,0,0.9401826374145801,0.9401826374145801,0.91018263741458,3,0.4992492071049715,0.4992492071049715,0.74209064245224,0.8274843003545121,0.4228504427130193,0.539590784600482,0.7181272824449072,8,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_08_candidate_057.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,70,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_070,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, messy amber quill tuft covering the top plane, centered square crop with gentle shadows",,openai/clip-vit-large-patch14,0.8246872425079346,0.3830544948577881,0.02124052308499813,0.14574128819589227,0.4432851077971637,0.6961020010489004,0.06584247928981019,0.9341575207101898,0.951365276374961,0.8304740879955639,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.988502710417061,0.9387212429998013,0.6574649618025858,0.5756044967786743,0.7410160259721417,0.9512246542860301,0.5692835916534741,0.8205364571560854,True,0,0.8505364571560854,0.8505364571560854,0.8205364571560854,3,0.5627552658252603,0.5527552658252602,0.7406158049901327,0.8354550474691139,0.5099623745504551,0.665243733953218,0.716739842582386,9,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_09_candidate_070.png
stage3_fixed_seed_final,1159_7.png,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\tp2-chosen\1159_7.png,1159,fixed_final,62,1159_7_ronda_10_hybrid_repair_cube_hybrid_ablation_062,ronda_10_hybrid_repair_cube_hybrid_ablation,"small hedgehog with compact cubical wooden block body, warm peach beige 4 by 4 cube grid sides, tiny face mostly hidden below orange spiky fur, orange tan spines concentrated only on the flat top, centered square crop with gentle shadows",,openai/clip-vit-large-patch14,0.7969600558280945,0.3858894109725952,0.022235263139009476,0.14911493264931408,0.4234522979756255,0.7075494836877892,0.06561416269691285,0.9343858373030871,0.9554287995377095,0.8365180706231276,SimianLuo/LCM_Dreamshaper_v7,8,8.0,50,768,768,0.9143331548125747,0.9312891585119923,0.6369993738722367,0.5542739307669617,0.7632778619141922,0.9544190877601377,0.6115760773750427,0.8077679115243729,False,1,0.8077679115243729,0.8077679115243729,0.8077679115243729,3,0.6125296426518511,0.602529642651851,0.7489557464917501,0.8326684351915382,0.5582140604784328,0.6525705868861068,0.7107233605059085,10,C:\Users\tugap\Desktop\Universidade\Masters2ºAno\IAG\Projeto 2\TP2-students\students\outputs\20260519-155819_notebook_ronda_10_hybrid_multiseed\1159_7\rank_10_candidate_062.png
